DATE,WEEKDAY,DELAY
01/01/17,2,25
02/01/17,3,30
03/01/17,5,10
05/01/17,6,20
06/01/17,1,30
08/01/17,2,20
09/01/17,3,35
10/01/17,5,45
12/01/17,6,30
13/01/17,7,25
14/01/17,1,30
15/01/17,2,35
16/01/17,3,15
17/01/17,5,45
19/01/17,6,20
20/01/17,7,45
21/01/17,1,40
22/01/17,2,15
23/01/17,3,25
24/01/17,5,40
26/01/17,6,40
27/01/17,7,45
28/01/17,1,35
29/01/17,2,15
30/01/17,3,25
31/01/17,5,5
02/02/17,6,45
03/02/17,7,0
04/02/17,1,34
05/02/17,2,25
06/02/17,3,35
07/02/17,5,20
09/02/17,7,30
11/02/17,1,25
12/02/17,2,40
13/02/17,3,30
14/02/17,5,30
16/02/17,6,25
17/02/17,7,30
18/02/17,1,20
19/02/17,2,55
20/02/17,3,25
21/02/17,5,25
23/02/17,6,40
24/02/17,7,20
25/02/17,1,30
26/02/17,2,30
27/02/17,3,15
28/02/17,5,30
02/03/17,6,35
03/03/17,1,55
05/03/17,2,0
06/03/17,3,15
07/03/17,5,20
09/03/17,6,20
10/03/17,7,20
11/03/17,1,20
12/03/17,2,10
13/03/17,3,45
14/03/17,5,15
16/03/17,6,20
17/03/17,1,10
19/03/17,2,15
20/03/17,3,30
21/03/17,5,5
23/03/17,6,20
24/03/17,7,15
25/03/17,1,20
26/03/17,2,15
27/03/17,3,15
28/03/17,5,10
30/03/17,6,25
31/03/17,7,10
01/04/17,1,15
02/04/17,2,15
03/04/17,3,10
04/04/17,5,8
06/04/17,6,10
07/04/17,7,15
08/04/17,1,34
09/04/17,2,10
10/04/17,3,10
11/04/17,5,0
13/04/17,1,15
16/04/17,2,5
17/04/17,3,5
18/04/17,5,5
20/04/17,6,30
21/04/17,7,20
22/04/17,1,5
23/04/17,2,10
24/04/17,3,5
25/04/17,5,5
27/04/17,6,0
28/04/17,7,35
29/04/17,1,10
30/04/17,2,20
01/05/17,3,20
02/05/17,6,0
05/05/17,7,10
06/05/17,1,45
07/05/17,2,15
08/05/17,3,15
09/05/17,5,0
11/05/17,6,15
12/05/17,7,15
13/05/17,1,35
14/05/17,2,15
15/05/17,3,15
16/05/17,5,20
18/05/17,6,10
19/05/17,7,15
20/05/17,1,10
21/05/17,2,20
22/05/17,3,5
23/05/17,5,35
25/05/17,6,5
26/05/17,7,0
27/05/17,1,30
28/05/17,2,0
29/05/17,3,10
30/05/17,5,50
01/06/17,6,20
02/06/17,7,5
03/06/17,1,22
04/06/17,2,0
05/06/17,3,10
06/06/17,5,30
08/06/17,6,0
09/06/17,7,0
10/06/17,1,12
11/06/17,2,7
12/06/17,3,15
13/06/17,5,20
15/06/17,6,15
16/06/17,7,10
17/06/17,1,15
18/06/17,2,0
19/06/17,3,10
20/06/17,5,25
22/06/17,6,0
23/06/17,7,0
24/06/17,1,10
25/06/17,2,40
26/06/17,3,30
27/06/17,5,0
29/06/17,7,15
01/07/17,1,9
02/07/17,2,15
03/07/17,3,5
04/07/17,5,10
06/07/17,6,5
07/07/17,7,15
08/07/17,1,0
09/07/17,2,5
10/07/17,3,35
11/07/17,5,8
13/07/17,6,20
14/07/17,7,10
15/07/17,1,5
16/07/17,3,0
18/07/17,6,5
21/07/17,7,15
22/07/17,1,5
23/07/17,2,10
24/07/17,3,15
25/07/17,5,15
27/07/17,6,10
28/07/17,7,50
29/07/17,1,25
30/07/17,2,10
31/07/17,3,10
01/08/17,5,5
03/08/17,6,5
04/08/17,7,44
05/08/17,1,20
06/08/17,2,5
07/08/17,3,15
08/08/17,5,25
10/08/17,6,20
11/08/17,7,15
12/08/17,1,30
13/08/17,2,10
14/08/17,3,20
15/08/17,5,5
17/08/17,6,15
18/08/17,7,35
19/08/17,1,15
